study,group,x,y
Puxi_cohort,IBD,0.26048780487804873,-0.19880758807588073
Puxi_cohort,IBD,-0.06016260162601626,-0.2073170731707317
Puxi_cohort,IBD,0.17919301415236374,-0.2128575730201746
Puxi_cohort,IBD,0.3114724480578139,-0.21544715447154472
Puxi_cohort,IBD,0.3891181988742964,-0.2180112570356473
Puxi_cohort,IBD,0.2799457994579945,-0.21951219512195122
Puxi_cohort,IBD,0.16097560975609757,-0.22251407129455905
Puxi_cohort,IBD,0.02113821138211382,-0.23461993843239407
Puxi_cohort,IBD,0.1380081300813008,-0.22621951219512196
Puxi_cohort,IBD,0.379032948224219,-0.22618741976893444
Puxi_cohort,IBD,0.2434378629500581,-0.2250871080139373
Puxi_cohort,IBD,0.11563845050215209,-0.22859875657580112
Puxi_cohort,IBD,0.25853658536585367,-0.22987804878048781
Puxi_cohort,IBD,0.35385210994967087,-0.2315911730545877
Puxi_cohort,IBD,0.0904065040650407,-0.23349593495934964
Puxi_cohort,IBD,0.2992109038737446,-0.25050215208034426
Puxi_cohort,IBD,0.11005679919812894,-0.2510079073393473
Puxi_cohort,IBD,0.23519163763066206,-0.24959349593495936
Puxi_cohort,IBD,0.3311082584510056,-0.25297389816003424
Puxi_cohort,IBD,0.07520325203252033,-0.25833333333333336
Puxi_cohort,IBD,0.02739212007504694,-0.2627892432770482
Puxi_cohort,IBD,0.21336946702800363,-0.26187895212285456
Puxi_cohort,IBD,0.43604336043360425,-0.26260162601626014
Puxi_cohort,IBD,0.3775971093044263,-0.26431797651309846
Puxi_cohort,IBD,0.44065040650406506,-0.2634146341463415
Puxi_cohort,IBD,0.2721701063164477,-0.2661663539712321
Puxi_cohort,IBD,0.3246119733924612,-0.2654841093865484
Puxi_cohort,IBD,0.39790940766550514,-0.2671312427409989
Puxi_cohort,IBD,0.36621499548328806,-0.2809756097560975
Puxi_cohort,IBD,0.20352303523035234,-0.2815718157181571
Puxi_cohort,IBD,0.2957723577235772,-0.28292682926829266
Puxi_cohort,IBD,0.33408042188529996,-0.2838497033618986
Puxi_cohort,IBD,0.27784552845528454,-0.2815040650406504
Puxi_cohort,IBD,0.12434241989478723,-0.2883787661406026
Puxi_cohort,IBD,0.145876887340302,-0.2869918699186992
Puxi_cohort,IBD,0.2563192904656319,-0.29024390243902437
Puxi_cohort,IBD,0.20365853658536584,-0.2930081300813009
Puxi_cohort,IBD,0.37127371273712745,-0.29214092140921405
Puxi_cohort,IBD,0.281409214092141,-0.30265582655826556
Puxi_cohort,IBD,0.01650105389942789,-0.30743751881963255
Puxi_cohort,IBD,0.37373080397470637,-0.3141463414634147
Puxi_cohort,IBD,0.3042682926829268,-0.31178861788617884
Puxi_cohort,IBD,0.32691716106350255,-0.3190068116897385
Puxi_cohort,IBD,0.2672990063233966,-0.3184281842818429
Puxi_cohort,IBD,0.22439024390243903,-0.3154471544715447
Puxi_cohort,IBD,0.3024390243902439,-0.32434745400085585
Puxi_cohort,IBD,0.3126016260162602,-0.3195121951219512
Puxi_cohort,IBD,0.348780487804878,-0.3183378500451672
Puxi_cohort,IBD,0.25040650406504067,-0.3266937669376693
Puxi_cohort,IBD,0.25853658536585367,-0.3300813008130081
Puxi_cohort,IBD,0.2737127371273713,-0.33300813008130076
Puxi_cohort,IBD,0.31290650406504067,-0.3465447154471545
Puxi_cohort,IBD,0.2306233062330623,-0.34715447154471546
Puxi_cohort,IBD,0.28191056910569107,-0.3600609756097561
Puxi_cohort,IBD,0.22515542802486851,-0.36480153036824486
HMP_2019_ibdmdb,IBD,0.3790424570912375,0.5149051490514905
HMP_2019_ibdmdb,IBD,0.3200542005420055,0.474977416440831
HMP_2019_ibdmdb,IBD,0.3766937669376693,0.47804878048780486
HMP_2019_ibdmdb,IBD,0.2902113821138212,0.45560975609756094
HMP_2019_ibdmdb,IBD,0.29647696476964774,0.4590785907859079
HMP_2019_ibdmdb,IBD,0.274425087108014,0.44408826945412316
HMP_2019_ibdmdb,IBD,0.30758807588075876,0.43143631436314367
HMP_2019_ibdmdb,IBD,0.34959349593495936,0.3959349593495935
HMP_2019_ibdmdb,IBD,0.34959349593495936,0.39186991869918697
